Cibo;Energia[kcal];Grassi [g];Saturi [g];Carboidrati [g];Zuccheri [g];Fibre [g];Proteine [g];Sale [g];Prezzo [100g];Data;Note;Categoria
Muesli;362;6;1;66;20;8;9;0,2;;;;Cereali e derivati
Fiocchi d'avena;379;7;1,3;60;1;10;13,5;0,01;;;;Cereali e derivati
Ceci, secchi, crudi;316;6;0,6;54,3;3;15;20,9;0,02;;;;Legumi
Ceci, in scatola, scolati;115;2,5;0,3;15;1;5;7;0,6;;;;Legumi
Fagioli borlotti, secchi, crudi;291;1,2;0,2;47,5;3;16;21;0,02;;;;Legumi
Fagioli, in scatola, scolati;90;0,5;0,1;14;1;6;6;0,5;;;;Legumi
Lenticchie, secche, crude;291;1;0,2;46;2;12;22,7;0,03;;;;Legumi
Lenticchie, cotte;116;0,4;0,1;18;1;5;9;0,01;;;;Legumi
Piselli, freschi, crudi;81;0,4;0,1;12;5;5;5,4;0,01;;;;Legumi
Piselli, surgelati;65;0,5;0,1;9;3,5;5;5;0,02;;;;Legumi
Fave, fresche;72;0,6;0,1;8,5;2,5;5;5,9;0,01;;;;Legumi
Soia, semi secchi;416;20;3;23;5;15;36,9;0,01;;;;Legumi
Pomodoro, fresco;19;0,2;0;3,5;2,6;1,2;1;0,01;;;;Verdura e ortaggi
Pomodori pelati, in scatola;20;0,2;0;3,5;3;1;1,1;0,3;;;;Verdura e ortaggi
Insalata, lattuga;15;0,2;0;2;1;1,5;1,4;0,01;;;;Verdura e ortaggi
Rucola;25;0,7;0,1;2;2;1,6;2,6;0,02;;;;Verdura e ortaggi
Zucchina;15;0,2;0;1,5;1,5;1;1,2;0,01;;;;Verdura e ortaggi
Melanzana;18;0,2;0;2,6;2,5;3;1;0,01;;;;Verdura e ortaggi
Peperone;22;0,3;0;4,2;4;1,9;1;0;;;;Verdura e ortaggi
Carota;35;0,2;0;7,6;4,7;3;1,1;0,08;;;;Verdura e ortaggi
Patata, cruda;77;0,1;0;17,5;0,8;1,6;2;0,01;;;;Verdura e ortaggi
Patate fritte (fast food);312;15;2,5;41;0,5;3,8;3,4;0,7;;;;Verdura e ortaggi
Cipolla;26;0,1;0;5,7;4,2;1,8;1,1;0,01;;;;Verdura e ortaggi
Aglio;41;0,2;0;7,9;1;4,1;6;0,02;;;;Verdura e ortaggi
Broccoli;34;0,4;0,1;3,1;1,5;3,4;3;0,03;;;;Verdura e ortaggi
Cavolfiore;25;0,2;0;2,8;2;2,4;2,4;0,03;;;;Verdura e ortaggi
Spinaci, freschi;23;0,4;0,1;1,4;0,4;2,2;2,9;0,14;;;;Verdura e ortaggi
Spinaci, cotti;24;0,5;0,1;1,5;0,5;2,5;3;0,15;;;;Verdura e ortaggi
Fagiolini;24;0,2;0;3,4;2;2,7;1,8;0,01;;;;Verdura e ortaggi
Zucca;18;0,1;0;3,5;2,2;1,1;1,1;0;;;;Verdura e ortaggi
Finocchio;9;0,2;0;1;1;2,2;0,8;0,05;;;;Verdura e ortaggi
Sedano;16;0,2;0;1,7;1;1,6;0,8;0,1;;;;Verdura e ortaggi
Funghi champignon;22;0,3;0;1;1;1;3,1;0,01;;;;Verdura e ortaggi
Cetriolo;12;0,1;0;1,5;1,5;0,6;0,7;0;;;;Verdura e ortaggi
Radicchio;13;0,1;0;1,7;0,5;1,9;1,4;0,02;;;;Verdura e ortaggi
Asparagi;24;0,2;0;2,5;1,9;2,1;3,4;0,01;;;;Verdura e ortaggi
Carciofo;22;0,2;0;2,5;1;5,4;2,7;0,03;;;;Verdura e ortaggi
Cavolo verza;27;0,2;0;4,3;2,3;3,1;2,4;0,02;;;;Verdura e ortaggi
Bietola;20;0,2;0;3;1,1;1,6;1,8;0,2;;;;Verdura e ortaggi
Mais dolce, in scatola;91;1,4;0,2;17;3;2,5;3;0,4;;;;Verdura e ortaggi
Barbabietola;43;0,2;0;9,6;6,8;2,8;1,6;0,1;;;;Verdura e ortaggi
Ravanelli;16;0,1;0;2;1,9;1,6;0,7;0,05;;;;Verdura e ortaggi
Porro;61;0,3;0;12,4;3,9;1,8;1,5;0,02;;;;Verdura e ortaggi
Olive verdi;145;15,3;2;3,8;0,5;3,3;1;3,6;;;;Verdura e ortaggi
Olive nere;168;16;2;4;0,5;3,7;1;3,8;;;;Verdura e ortaggi
Mela;52;0,2;0;11,5;10;2,4;0,3;0;;;;Frutta
Pera;57;0,1;0;12,5;9,8;3,1;0,4;0;;;;Frutta
Banana;89;0,3;0,1;20;17,2;2,6;1,1;0;;;;Frutta
Arancia;47;0,1;0;9,4;9;2,4;0,9;0;;;;Frutta
Mandarino;53;0,3;0;11;10,5;1,8;0,8;0;;;;Frutta
Kiwi;61;0,5;0;11,7;9;3;1,1;0;;;;Frutta
Fragole;32;0,3;0;5,8;4,9;2;0,7;0;;;;Frutta
Uva;67;0,2;0,1;15,5;15;0,9;0,6;0;;;;Frutta
Pesca;39;0,3;0;8,9;8,4;1,6;0,9;0;;;;Frutta
Albicocca;48;0,4;0;9,2;8,5;2,1;1,4;0;;;;Frutta
Susina (prugna);46;0,3;0;10;9,3;1,6;0,7;0;;;;Frutta
Ciliegie;63;0,2;0;14;13;1,6;1,1;0;;;;Frutta
Ananas;50;0,1;0;11,5;9,9;1,4;0,5;0;;;;Frutta
Melone;34;0,2;0;7,6;7;0,9;0,8;0,02;;;;Frutta
Anguria;30;0,2;0;7;6;0,4;0,6;0;;;;Frutta
Limone;29;0,3;0;3,2;2,5;4,7;0,9;0;;;;Frutta
Pompelmo;33;0,1;0;6,6;6;1,6;0,7;0;;;;Frutta
Cachi;70;0,2;0;15,9;12,5;3,6;0,6;0;;;;Frutta
Fichi, freschi;74;0,3;0;16,3;16;2,9;1,2;0;;;;Frutta
Fichi secchi;249;0,9;0,1;58;48;9,8;3,4;0,02;;;;Frutta
Datteri;282;0,4;0;65;63;8;2,5;0,01;;;;Frutta
Uva passa;299;0,5;0,1;68;59;4;3,1;0,03;;;;Frutta
Avocado;160;14,7;2,1;8,5;0,7;6,7;2;0,01;;;;Frutta
Mirtilli;43;0,3;0;9,7;6,5;2,4;0,6;0;;;;Frutta
Lamponi;34;0,4;0;5,4;4,4;6,5;1,5;0;;;;Frutta
More;34;0,5;0;4,9;4,9;5,3;1,4;0;;;;Frutta
Cocco, polpa fresca;354;33,5;29,7;15,2;6,2;9;3,3;0,02;;;;Frutta
Mango;60;0,4;0,1;15;13,7;1,6;0,8;0;;;;Frutta
Papaya;43;0,3;0;10,8;7,8;1,7;0,5;0;;;;Frutta
Nespole;47;0,2;0;12,1;6,6;1,7;0,4;0;;;;Frutta
Frutti di bosco misti, surgelati;40;0,3;0;6,5;5;4;0,9;0;;;;Frutta
Macedonia di frutta, in scatola;65;0,1;0;15;14;1,2;0,4;0,02;;;;Frutta
Succo d'arancia, 100%;45;0,2;0;10,4;9;0,2;0,7;0;;;;Frutta
Succo di mela, 100%;46;0,1;0;11,3;10,5;0,1;0,1;0;;;;Frutta
Marmellata;250;0,1;0;61;58;1;0,4;0,02;;;;Frutta
Mandorle, sgusciate;603;53,5;4,5;12;4;12,5;22;0,01;;;;Frutta secca e semi
Noci, sgusciate;654;65;6;12;2,6;6,7;14,7;0,01;;;;Frutta secca e semi
Nocciole, sgusciate;655;62;4,5;16;4,3;9,6;13,7;0;;;;Frutta secca e semi
Pistacchi, sgusciati;562;45;5,5;27,5;7,7;10,3;20,6;0,14;;;;Frutta secca e semi
Anacardi;553;44;7,8;30;5,9;3,3;18,2;0,02;;;;Frutta secca e semi
Arachidi, tostate;585;50;8,5;16;4;8,5;26;0,01;;;;Frutta secca e semi
Semi di girasole;584;51;4,5;20;2,6;8,6;21;0,01;;;;Frutta secca e semi
Semi di zucca;559;49;8,5;10,7;1,4;6;30,2;0,02;;;;Frutta secca e semi
Semi di chia;486;30,7;3,3;42,1;0;34,4;16,5;0,02;;;;Frutta secca e semi
Semi di lino;534;42,2;3,7;28,9;1,6;27,3;18,3;0,03;;;;Frutta secca e semi
Castagne, fresche;165;1,5;0,3;36;6,5;4,9;2,9;0,01;;;;Frutta secca e semi
Nocciole tostate salate;646;60;4,5;18;4;9;15;0,5;;;;Frutta secca e semi
Petto di pollo, crudo;165;3,6;1;0;0;0;31;0,1;;;;Carne
Pollo, coscia con pelle, cruda;209;15;4,3;0;0;0;18;0,15;;;;Carne
Tacchino, petto, crudo;111;1;0,3;0;0;0;24;0,1;;;;Carne
Manzo, magro, crudo;158;6,5;2,7;0;0;0;21;0,1;;;;Carne
Manzo, macinato 20% grassi, crudo;254;20;8;0;0;0;17,2;0,1;;;;Carne
Vitello, fesa, cruda;109;2;0,8;0;0;0;21;0,1;;;;Carne
Maiale, lonza, cruda;143;5,5;1,9;0;0;0;22;0,1;;;;Carne
Maiale, pancetta;361;32;12;0;0;0;15;1,4;;;;Carne
Agnello, cosciotto, crudo;178;9,5;4;0;0;0;21;0,1;;;;Carne
Coniglio, crudo;136;5,5;1,7;0;0;0;21;0,08;;;;Carne
Anatra, petto, crudo;135;4,2;1,4;0;0;0;23,5;0,1;;;;Carne
Salsiccia di maiale, cruda;315;27;10;1;0;0;15;1,5;;;;Carne
Hamburger di manzo, cotto;250;17;7;0;0;0;22;0,9;;;;Carne
Wurstel di pollo;220;17;6;3;1;0;12;1,8;;;;Carne
Fegato di vitello, crudo;135;3,6;1,2;3,9;0;0;20;0,15;;;;Carne
Prosciutto crudo;268;15;5;0,3;0;0;28;4,9;;;;Salumi
Prosciutto cotto;145;7;2,3;1,5;1;0;19;2,6;;;;Salumi
Bresaola;151;2,6;0,9;0,5;0;0;32;2,9;;;;Salumi
Salame;380;30;11;1;0;0;25;3,6;;;;Salumi
Mortadella;288;24;8,5;2,5;1;0;15,5;2,3;;;;Salumi
Speck;230;15;5,5;0,5;0;0;24;4,3;;;;Salumi
Pancetta affumicata;380;35;13;0,5;0;0;15;2,9;;;;Salumi
Coppa;380;32;12;0,5;0;0;22;3,5;;;;Salumi
Salmone, fresco;208;13;3,1;0;0;0;20;0,1;;;;Pesce e frutti di mare
Tonno, fresco;144;4,9;1,3;0;0;0;23,3;0,1;;;;Pesce e frutti di mare
Tonno, in scatola sott'olio, sgocciolato;189;8,2;1,5;0;0;0;26;0,5;;;;Pesce e frutti di mare
Tonno, in scatola al naturale, sgocciolato;116;1;0,3;0;0;0;25;0,4;;;;Pesce e frutti di mare
Merluzzo/Nasello, fresco;82;0,7;0,1;0;0;0;17,8;0,2;;;;Pesce e frutti di mare
Orata, fresca;121;4,6;1;0;0;0;19,5;0,1;;;;Pesce e frutti di mare
Branzino, fresco;97;2,5;0,5;0;0;0;18;0,1;;;;Pesce e frutti di mare
Trota, fresca;119;4,3;0,9;0;0;0;19,5;0,06;;;;Pesce e frutti di mare
Sgombro, fresco;205;13,9;3,4;0;0;0;18,6;0,15;;;;Pesce e frutti di mare
Sogliola, fresca;86;1,5;0,3;0;0;0;17;0,15;;;;Pesce e frutti di mare
Gamberi/Gamberetti, crudi;85;0,5;0,1;0,5;0;0;18;0,4;;;;Pesce e frutti di mare
Calamari, crudi;75;1,4;0,3;3,1;0;0;12,6;0,4;;;;Pesce e frutti di mare
Polpo, crudo;82;1;0,2;2,2;0;0;14,9;0,4;;;;Pesce e frutti di mare
Cozze, crude/sgusciate;86;2,2;0,4;3,7;0;0;11,9;0,7;;;;Pesce e frutti di mare
Vongole, crude/sgusciate;72;1;0,1;2,6;0;0;12,5;0,7;;;;Pesce e frutti di mare
Baccalà, ammollato;68;0,3;0,05;0;0;0;16;0,4;;;;Pesce e frutti di mare
Acciughe/Alici, fresche;96;4;1;0;0;0;14;0,15;;;;Pesce e frutti di mare
Alici sott'olio;210;14;2,5;0;0;0;21;6,5;;;;Pesce e frutti di mare
Salmone affumicato;117;4,3;0,9;0;0;0;18,3;3;;;;Pesce e frutti di mare
Surimi;100;0,5;0,1;12;3;0;12;1,5;;;;Pesce e frutti di mare
Seppia, cruda;72;1;0,2;0,8;0;0;15;0,4;;;;Pesce e frutti di mare
Pesce spada, fresco;121;4;1;0;0;0;20;0,1;;;;Pesce e frutti di mare
Latte intero;64;3,6;2,4;4,9;4,9;0;3,3;0,13;;;;Latte, yogurt e formaggi
Latte parzialmente scremato;46;1,5;1;4,9;4,9;0;3,3;0,15;;;;Latte, yogurt e formaggi
Latte scremato;35;0,2;0,1;5;5;0;3,4;0,15;;;;Latte, yogurt e formaggi
Yogurt bianco intero;66;3,5;2,3;4,5;4,5;0;3,5;0,1;;;;Latte, yogurt e formaggi
Yogurt magro alla frutta;82;0,3;0,1;15;14;0,3;3,6;0,1;;;;Latte, yogurt e formaggi
Yogurt greco;97;4;2,6;4;4;0;9;0,1;;;;Latte, yogurt e formaggi
Mozzarella di vacca;253;19,5;12;1;1;0;18,7;0,4;;;;Latte, yogurt e formaggi
Mozzarella di bufala;288;24;15;0,4;0,4;0;16,7;0,03;;;;Latte, yogurt e formaggi
Parmigiano Reggiano;402;29;18;0;0;0;33,5;1,4;;;;Latte, yogurt e formaggi
Grana Padano;396;28;17,5;0;0;0;33;1,4;;;;Latte, yogurt e formaggi
Ricotta di vacca;146;10,9;7;3,5;3,5;0;8,8;0,1;;;;Latte, yogurt e formaggi
Stracchino;305;25;16;1;1;0;18;1,2;;;;Latte, yogurt e formaggi
Gorgonzola;330;27;18;0;0;0;20;1,6;;;;Latte, yogurt e formaggi
Fontina;350;28;18;0;0;0;25;1;;;;Latte, yogurt e formaggi
Emmentaler;380;30;19;0;0;0;28;0,6;;;;Latte, yogurt e formaggi
Feta;264;21;15;4;4;0;14,2;3;;;;Latte, yogurt e formaggi
Philadelphia (formaggio spalmabile);253;24;16;4;4;0;5,5;0,6;;;;Latte, yogurt e formaggi
Provolone;351;27;17;2,1;0,6;0;25,6;1,9;;;;Latte, yogurt e formaggi
Caciotta;320;25;16;1;1;0;22;1,5;;;;Latte, yogurt e formaggi
Burrata;330;28;18;1,5;1,5;0;15;0,3;;;;Latte, yogurt e formaggi
Panna da cucina;340;35;22;3;3;0;2,3;0,1;;;;Latte, yogurt e formaggi
Panna montata;350;37;24;3;3;0;2;0,06;;;;Latte, yogurt e formaggi
Burro;758;84;54;0,1;0,1;0;0,5;0,02;;;;Latte, yogurt e formaggi
Latte di soia;33;1,8;0,3;0,8;0,5;0,6;3;0,1;;;;Latte, yogurt e formaggi
Latte di mandorla;24;1,1;0,1;2,5;2;0,2;0,5;0,1;;;;Latte, yogurt e formaggi
Kefir;55;2;1,3;4,5;4,5;0;3,3;0,1;;;;Latte, yogurt e formaggi
Uovo di gallina, intero, crudo;143;9,5;3;0,7;0,5;0;12,4;0,3;;;;Uova
Albume d'uovo;48;0,2;0;0,7;0,7;0;10,9;0,4;;;;Uova
Tuorlo d'uovo;322;27;9,5;3,6;0,6;0;15,9;0,1;;;;Uova
Olio extravergine d'oliva;899;100;14;0;0;0;0;0;;;;Grassi e oli
Olio di semi di girasole;899;100;11;0;0;0;0;0;;;;Grassi e oli
Olio di semi vari;899;100;12;0;0;0;0;0;;;;Grassi e oli
Margarina;719;80;25;0,5;0,5;0;0,2;0,5;;;;Grassi e oli
Strutto;897;99,6;40;0;0;0;0;0;;;;Grassi e oli
Zucchero bianco;400;0;0;100;100;0;0;0;;;;Dolci e snack
Miele;304;0;0;82,4;82;0,2;0,3;0,01;;;;Dolci e snack
Cioccolato fondente 70%;598;42;25;45;24;11;7,8;0,02;;;;Dolci e snack
Cioccolato al latte;535;31;19;56;54;3,4;7,7;0,24;;;;Dolci e snack
Nutella / crema spalmabile alle nocciole;539;31;10,6;57,5;56,3;0;6,3;0,11;;;;Dolci e snack
Biscotti secchi (frollini);450;15;7;71;25;2,5;7;0,5;;;;Dolci e snack
Biscotti integrali;430;14;6;68;20;6;8;0,6;;;;Dolci e snack
Merendina farcita;420;20;9;55;30;2;5;0,5;;;;Dolci e snack
Croissant;406;21;11;45;15;2;8;0,7;;;;Dolci e snack
Torta margherita;380;15;6;55;30;1,5;6;0,5;;;;Dolci e snack
Tiramisù;300;18;10;26;20;0,5;5,5;0,15;;;;Dolci e snack
Gelato alla crema;216;11;7;24;21;0;4;0,15;;;;Dolci e snack
Gelato alla frutta (sorbetto);130;0,5;0,1;30;28;0,5;0,5;0,02;;;;Dolci e snack
Patatine in sacchetto;536;34;15;50;0,5;4,5;6,5;1,5;;;;Dolci e snack
Popcorn salato;480;25;3;58;0,5;9;9;1,5;;;;Dolci e snack
Caramelle gommose;340;0,2;0;78;46;0;5;0,05;;;;Dolci e snack
Caramelle dure;390;0;0;97;70;0;0;0;;;;Dolci e snack
Barretta ai cereali;400;12;5;65;30;4;6;0,3;;;;Dolci e snack
Cracker salati;480;20;8;65;3;3;8;2;;;;Dolci e snack
Nutella biscuits;495;24;13;62;34;2;6,5;0,7;;;;Dolci e snack
Cornetto vuoto (bar);380;18;9;48;15;2;7;0,6;;;;Dolci e snack
Panettone;375;12;5;56;28;2;7,5;0,4;;;;Dolci e snack
Pandoro;405;17;8;55;26;1,5;7;0,4;;;;Dolci e snack
Cheesecake;320;20;11;28;20;0,5;5;0,3;;;;Dolci e snack
Nutella & Go / snack simile;470;26;6;51;40;2;6;0,3;;;;Dolci e snack
Wafer alla nocciola;510;28;12;58;35;1,5;6;0,3;;;;Dolci e snack
Marmellata / confettura;250;0,1;0;61;58;1;0,4;0,02;;;;Dolci e snack
Nocciolata / crema spalmabile bio;550;36;8;50;45;3;7;0,1;;;;Dolci e snack
Torrone;450;18;3;65;55;3;8;0,1;;;;Dolci e snack
Frutta candita;320;0,2;0;78;75;1;0,3;0,05;;;;Dolci e snack
Acqua naturale;0;0;0;0;0;0;0;0;;;;Bevande
Caffè, espresso (senza zucchero);2;0;0;0;0;0;0,1;0;;;;Bevande
Tè, infuso senza zucchero;1;0;0;0;0;0;0;0;;;;Bevande
Cola, bevanda gassata;42;0;0;10,6;10,6;0;0;0;;;;Bevande
Aranciata;44;0;0;11;11;0;0;0;;;;Bevande
Bevanda energetica;45;0;0;11;11;0;0,4;0,02;;;;Bevande
Birra, chiara;43;0;0;3,5;0;0;0,5;0;;;;Bevande
Vino rosso;85;0;0;0,3;0,3;0;0,1;0;;;;Bevande
Vino bianco;82;0;0;0,6;0,6;0;0,1;0;;;;Bevande
Spumante/Prosecco;76;0;0;1,5;1,5;0;0,1;0;;;;Bevande
Succo di frutta ACE;46;0,1;0;10,5;10;0,2;0,3;0;;;;Bevande
Tè freddo, zuccherato;33;0;0;8;8;0;0;0,02;;;;Bevande
Latte macchiato (bar);60;3;2;5;5;0;3,2;0,13;;;;Bevande
Cappuccino (bar);55;2,8;1,8;4,5;4,5;0;3;0,1;;;;Bevande
Frappuccino / bevanda a base caffè zuccherata;90;3;2;14;13;0;2;0,1;;;;Bevande
Bevanda isotonica;26;0;0;6,5;6,5;0;0;0,1;;;;Bevande
Estathè / tè in bottiglia;35;0;0;8,5;8,5;0;0;0,02;;;;Bevande
Chinotto;41;0;0;10;10;0;0;0;;;;Bevande
Cioccolata calda;90;3;2;14;12;1;2,5;0,1;;;;Bevande
Frullato di frutta;60;0,3;0;14;12,5;1,2;0,6;0;;;;Bevande
Maionese;680;75;6;1;1;0;1;1;;;;Condimenti e salse
Ketchup;101;0,2;0;24;21;0,5;1,2;2,3;;;;Condimenti e salse
Senape;66;3,3;0,2;5;3;3;4;3,5;;;;Condimenti e salse
Salsa di soia;53;0,1;0;5,6;1;0,8;8,1;14;;;;Condimenti e salse
Aceto balsamico;88;0;0;17;15;0;0,5;0,03;;;;Condimenti e salse
Aceto di vino;21;0;0;0,9;0,9;0;0;0,01;;;;Condimenti e salse
Sale da cucina;0;0;0;0;0;0;0;100;;;;Condimenti e salse
Pesto alla genovese;450;45;7;4;1;1,5;5;2;;;;Condimenti e salse
Sugo di pomodoro pronto;55;3;0,5;5,5;4,5;1,5;1,3;0,9;;;;Condimenti e salse
Brodo di carne, dado;250;15;5;20;2;0;8;25;;;;Condimenti e salse
Besciamella;130;9;5,5;8;3;0,1;3;0,5;;;;Condimenti e salse
Hummus di ceci;177;9,6;1,4;14,3;0,3;6;7,9;0,6;;;;Condimenti e salse
Guacamole;155;13;2;8;1;5;2;0,6;;;;Condimenti e salse
Curry, spezia in polvere;325;14;1,5;55,8;2,8;33;12,7;0,05;;;;Condimenti e salse
Origano essiccato;265;4,3;1,2;68,9;4,1;42,5;9;0,03;;;;Condimenti e salse
Lasagne alla bolognese, pronte;155;8;3,5;13;3;1;8;0,6;;;;Piatti pronti e fast food
Hamburger con pane e formaggio (fast food);270;13;6;25;5;1,5;14;1,2;;;;Piatti pronti e fast food
Pizza surgelata margherita, cotta;250;9;4;32;3;2;10;1,2;;;;Piatti pronti e fast food
Kebab (piadina/pane con carne);220;10;3,5;20;2;1,5;13;1;;;;Piatti pronti e fast food
Sushi, misto (media);150;2,5;0,5;25;3;1;6;0,8;;;;Piatti pronti e fast food
Involtino primavera, fritto;220;12;2;22;2;2;5;0,9;;;;Piatti pronti e fast food
Pollo fritto (fast food);290;18;4,5;15;0,5;1;18;1,5;;;;Piatti pronti e fast food
Insalata mista con pollo (fast food);110;5;1;6;3;2;10;0,6;;;;Piatti pronti e fast food
Minestrone di verdure, pronto;35;1;0,2;5;2;1,5;1,5;0,5;;;;Piatti pronti e fast food
Risotto ai funghi, pronto;130;4;1,5;19;1;1;3;0,6;;;;Piatti pronti e fast food
